index,metric,labels
33.0,60.0,Manaus
65.0,37.0,Belém
25.0,24.0,Itacoatiara
66.0,24.0,Breves
91.0,23.0,Santarém
41.0,19.0,Parintins
49.0,17.0,Tefé
58.0,17.0,Almeirim
73.0,17.0,Gurupá
88.0,17.0,Prainha
19.0,15.0,Coari
20.0,15.0,Codajás
80.0,15.0,Monte Alegre
82.0,15.0,Óbidos
75.0,14.0,Juruti
102.0,14.0,Santana
5.0,11.0,Amaturá
11.0,11.0,Benjamin Constant
21.0,11.0,Fonte Boa
29.0,11.0,Jutaí
43.0,11.0,Santo Antônio do Içá
45.0,11.0,São Paulo de Olivença
47.0,11.0,Tabatinga
50.0,11.0,Tonantins
103.0,11.0,Vitória do Jari
87.0,10.0,Porto de Moz
93.0,10.0,Senador José Porfírio
95.0,10.0,Terra Santa
99.0,10.0,Vitória do Xingu
100.0,10.0,Laranjal do Jari
64.0,8.0,Barcarena
70.0,8.0,Curralinho
72.0,8.0,Faro
101.0,8.0,Macapá
14.0,7.0,Borba
38.0,7.0,Nova Olinda do Norte
56.0,7.0,Afuá
57.0,7.0,Alenquer
84.0,7.0,Oriximiná
0.0,6.0,Porto Velho
12.0,6.0,Beruri
22.0,6.0,Humaitá
31.0,6.0,Manacapuru
34.0,6.0,Manicoré
40.0,6.0,Novo Aripuanã
68.0,6.0,Cametá
86.0,6.0,Portel
4.0,5.0,Alvarães
17.0,5.0,Carauari
28.0,5.0,Juruá
37.0,5.0,Nhamundá
51.0,5.0,Uarini
52.0,5.0,Urucará
62.0,5.0,Bagre
78.0,5.0,Melgaço
83.0,5.0,Oeiras do Pará
92.0,5.0,São Sebastião da Boa Vista
6.0,4.0,Anamã
7.0,4.0,Anori
10.0,4.0,Barreirinha
13.0,4.0,Boa Vista do Ramos
26.0,4.0,Itapiranga
46.0,4.0,São Sebastião do Uatumã
48.0,4.0,Tapauá
60.0,4.0,Anajás
69.0,4.0,Chaves
79.0,4.0,Mocajuba
1.0,3.0,Cruzeiro do Sul
8.0,3.0,Autazes
9.0,3.0,Barcelos
15.0,3.0,Caapiranga
27.0,3.0,Japurá
35.0,3.0,Maraã
42.0,3.0,Santa Isabel do Rio Negro
44.0,3.0,São Gabriel da Cachoeira
53.0,3.0,Urucurituba
63.0,3.0,Baião
76.0,3.0,Limoeiro do Ajuru
81.0,3.0,Muaná
97.0,3.0,Tucuruí
16.0,2.0,Canutama
32.0,2.0,Manaquiri
36.0,2.0,Maués
54.0,2.0,Abaetetuba
61.0,2.0,Aveiro
67.0,2.0,Cachoeira do Arari
71.0,2.0,Curuá
74.0,2.0,Itaituba
90.0,2.0,Santa Cruz do Arari
96.0,2.0,Tucumã
107.0,2.0,Humberto de Campos
109.0,2.0,Imperatriz
111.0,2.0,São José de Ribamar
126.0,2.0,Salvador
2.0,1.0,Marechal Thaumaturgo
3.0,1.0,Porto Walter
18.0,1.0,Careiro da Várzea
23.0,1.0,Ipixuna
24.0,1.0,Iranduba
30.0,1.0,Lábrea
39.0,1.0,Novo Airão
55.0,1.0,Acará
59.0,1.0,Altamira
77.0,1.0,Marabá
85.0,1.0,Ponta de Pedras
89.0,1.0,Salvaterra
94.0,1.0,Soure
98.0,1.0,Viseu
104.0,1.0,Itaguatins
105.0,1.0,Alcântara
106.0,1.0,Carutapera
108.0,1.0,Icatu
110.0,1.0,Primeira Cruz
112.0,1.0,São Luís
113.0,1.0,Areia Branca
114.0,1.0,Grossos
115.0,1.0,Penedo
116.0,1.0,Piaçabuçu
117.0,1.0,Porto Real do Colégio
118.0,1.0,Traipu
119.0,1.0,Brejo Grande
120.0,1.0,Gararu
121.0,1.0,Propriá
122.0,1.0,Santana do São Francisco
123.0,1.0,Itaparica
124.0,1.0,Pilão Arcado
125.0,1.0,Remanso
127.0,1.0,Sento Sé
128.0,1.0,Vera Cruz
129.0,1.0,Xique-Xique
130.0,1.0,Angra dos Reis
131.0,1.0,Mangaratiba
132.0,1.0,Guaraqueçaba
133.0,1.0,Paranaguá
134.0,1.0,Imaruí
135.0,1.0,Itapiranga
136.0,1.0,Laguna
137.0,1.0,Pinheirinho do Vale
138.0,1.0,Rio Grande
139.0,1.0,São José do Norte
