index,metric,labels
3662.0,67645.25,São Paulo
2191.0,36472.0,Belo Horizonte
2047.0,32848.0,Salvador
1642.0,31176.0,Aracaju
3228.0,28484.75,Campinas
5173.0,28050.0,Goiânia
861.0,27239.0,Fortaleza
4701.0,26585.25,Porto Alegre
1193.0,25698.5,Campina Grande
1843.0,25495.5,Feira de Santana
1485.0,25430.0,Recife
1402.0,25065.25,Caruaru
3099.0,24087.0,Rio de Janeiro
1401.0,21256.0,Carpina
794.0,20947.0,Teresina
3592.0,19413.5,Ribeirão Preto
3831.0,19088.5,Curitiba
5321.0,17008.25,Brasília
1457.0,16843.25,Limoeiro
1474.0,16594.0,Paudalho
112.0,16212.0,Belém
1275.0,16069.0,Patos
3656.0,15821.25,São José do Rio Preto
128.0,15717.0,Castanhal
3807.0,15112.0,Cascavel
3942.0,14815.0,Maringá
4772.0,14711.25,São Leopoldo
1585.0,14277.0,Maceió
1541.0,14260.0,Arapiraca
1676.0,13945.0,Maruim
459.0,13754.0,Imperatriz
1698.0,13558.0,Rosário do Catete
2537.0,12874.0,Juiz de Fora
1672.0,12804.0,Laranjeiras
4982.0,12712.5,Cuiabá
1665.0,12600.0,Itabaiana
1237.0,12569.0,João Pessoa
3570.0,12355.25,Presidente Prudente
3925.0,12340.0,Londrina
152.0,12229.0,Marabá
969.0,12103.0,Sobral
2432.0,12049.5,Governador Valadares
2123.0,11668.0,Vitória da Conquista
4474.0,11309.0,Carazinho
4885.0,11303.25,Campo Grande
3035.0,11198.0,Vitória
1451.0,11181.0,Lagoa do Carro
738.0,11037.0,Picos
1925.0,11037.0,Jequié
1537.0,10995.0,Vitória de Santo Antão
1751.0,10802.5,Barreiras
1069.0,10761.0,Natal
5097.0,10718.0,Anápolis
422.0,10588.0,Caxias
1245.0,10484.0,Lagoa Seca
1415.0,10452.0,Escada
4203.0,10328.5,Florianópolis
509.0,10211.0,Peritoró
1468.0,10095.0,Palmares
3681.0,9615.25,Sorocaba
4004.0,9571.0,Ponta Grossa
1652.0,9495.0,Carmópolis
550.0,9418.0,São Luís
1829.0,9310.0,Cruz das Almas
2931.0,9283.25,Uberlândia
1669.0,9261.0,Japaratuba
1721.0,9261.0,Alagoinhas
3531.0,8945.0,Peruíbe
1509.0,8935.0,São Lourenço da Mata
1479.0,8922.0,Petrolina
1889.0,8894.5,Itabuna
3406.0,8839.0,Jundiaí
1394.0,8645.0,Camaragibe
3657.0,8572.25,São José dos Campos
2061.0,8483.0,Santo Antônio de Jesus
4247.0,8374.0,Joinville
294.0,8295.0,Gurupi
829.0,8260.0,Baturité
4739.0,8191.0,Santa Maria
3541.0,8149.25,Piracicaba
1388.0,8107.0,Cabo de Santo Agostinho
901.0,8103.0,Juazeiro do Norte
1487.0,8077.0,Ribeirão
1694.0,8031.0,Propriá
4613.0,8028.0,Lajeado
1968.0,7996.0,Milagres
3141.0,7984.5,Americana
2474.0,7757.5,Ipatinga
4638.0,7706.0,Montenegro
4106.0,7681.0,Toledo
2368.0,7669.0,Divinópolis
3071.0,7590.0,Macaé
4184.0,7580.0,Chapecó
3188.0,7509.0,Bauru
3437.0,7492.25,Marília
1682.0,7326.0,Nossa Senhora da Glória
3051.0,7297.75,Campos dos Goytacazes
2528.0,7280.25,João Monlevade
4807.0,7265.0,Soledade
2912.0,7234.0,Teófilo Otoni
248.0,7210.0,Araguaína
1290.0,7202.0,Pombal
2081.0,7189.0,Senhor do Bonfim
5057.0,7188.5,Rondonópolis
1422.0,7104.0,Gameleira
1491.0,7093.0,Salgueiro
4148.0,7008.0,Balneário Camboriú
1464.0,6996.0,Nazaré da Mata
2930.0,6981.5,Uberaba
804.0,6966.0,Acarape
4680.0,6886.0,Passo Fundo
4543.0,6877.0,Estrela
3159.0,6843.25,Araraquara
3856.0,6782.0,Foz do Iguaçu
390.0,6733.0,Bacabal
1423.0,6732.0,Garanhuns
365.0,6729.0,Palmas
2075.0,6727.0,Sapeaçu
4156.0,6578.5,Blumenau
1517.0,6570.0,Surubim
2536.0,6566.0,Juatuba
5078.0,6520.0,Várzea Grande
3799.0,6500.25,Campo Mourão
3952.0,6463.0,Medianeira
853.0,6454.0,Crato
4323.0,6452.0,Rio do Sul
2986.0,6431.0,Guarapari
2197.0,6406.0,Betim
4481.0,6389.0,Caxias do Sul
1346.0,6383.0,Sousa
1371.0,6383.0,Arcoverde
2048.0,6368.0,Santa Bárbara
2019.0,6345.5,Poções
816.0,6306.0,Aracoiaba
126.0,6295.0,Capanema
2186.0,6288.0,Barbacena
3757.0,6279.0,Apucarana
4038.0,6258.0,Rolândia
3043.0,6250.0,Barra Mansa
2335.0,6164.0,Coronel Fabriciano
1683.0,6135.0,Nossa Senhora das Dores
2730.0,6131.25,Pouso Alegre
1668.0,6125.0,Itaporanga d'Ajuda
568.0,6078.0,Timon
2086.0,6055.0,Serrinha
4897.0,6055.0,Dourados
11.0,6029.0,Ji-Paraná
371.0,6001.0,Açailândia
3454.0,5970.0,Mogi das Cruzes
4237.0,5968.0,Itajaí
3168.0,5961.5,Assis
515.0,5955.0,Porto Franco
3704.0,5953.0,Taubaté
5265.0,5930.0,Porangatu
191.0,5928.0,Santa Maria do Pará
1378.0,5924.0,Bezerros
326.0,5920.0,Paraíso do Tocantins
3080.0,5897.0,Niterói
662.0,5896.0,Floriano
2269.0,5889.0,Caratinga
1511.0,5881.0,Serra Talhada
2485.0,5873.0,Itajubá
3648.0,5815.5,São Carlos
1853.0,5807.0,Governador Mangabeira
137.0,5805.0,Eldorado do Carajás
3644.0,5800.0,Santos
1455.0,5788.0,Lagoa Grande
976.0,5784.0,Tianguá
1678.0,5779.0,Monte Alegre de Sergipe
2116.0,5775.0,Valença
2973.0,5773.0,Cachoeiro de Itapemirim
1671.0,5736.0,Lagarto
1189.0,5728.0,Cajazeiras
4430.0,5713.0,Bento Gonçalves
2616.0,5691.0,Montes Claros
3865.0,5677.0,Guaíra
1840.0,5643.5,Eunápolis
1879.0,5643.0,Ipiaú
173.0,5629.0,Parauapebas
1946.0,5616.0,Luís Eduardo Magalhães
1657.0,5613.0,Estância
1876.0,5586.0,Ilhéus
3122.0,5564.0,Volta Redonda
1797.0,5560.0,Capim Grosso
3625.0,5550.0,Santa Isabel
4557.0,5533.0,Frederico Westphalen
274.0,5529.0,Colinas do Tocantins
5068.0,5509.0,Sinop
1225.0,5495.0,Guarabira
2897.0,5492.0,Sete Lagoas
955.0,5472.0,Redenção
3081.0,5465.0,Nova Friburgo
1658.0,5451.0,Feira Nova
3858.0,5426.0,Francisco Beltrão
3391.0,5425.0,Jaboticabal
981.0,5421.0,Umirim
1709.0,5384.0,Siriri
1427.0,5376.0,Gravatá
1815.0,5376.0,Conceição do Coité
4961.0,5360.0,Barra do Garças
14.0,5288.0,Ouro Preto do Oeste
929.0,5281.0,Pacajus
966.0,5263.0,São Luís do Curu
1296.0,5262.0,Remígio
3150.0,5257.0,Aparecida
2079.0,5232.5,Seabra
505.0,5232.0,Pedreiras
3932.0,5212.0,Mandaguari
3067.0,5160.0,Itaperuna
2108.0,5140.0,Ubaitaba
3416.0,5126.25,Limeira
4583.0,5121.0,Ijuí
3597.0,5084.75,Rio Claro
3370.0,5073.0,Itapetininga
3500.0,5052.25,Ourinhos
16.0,5029.75,Porto Velho
3565.0,5013.0,Praia Grande
879.0,5001.25,Iguatu
438.0,5000.0,Estreito
1463.0,4980.0,Moreno
4114.0,4974.0,Umuarama
587.0,4966.0,Altos
4793.0,4957.0,Sarandi
1344.0,4948.0,Soledade
1221.0,4940.0,Esperança
2556.0,4931.0,Leopoldina
3154.0,4889.0,Araçatuba
517.0,4880.0,Presidente Dutra
1805.0,4872.0,Catu
4386.0,4870.0,Xanxerê
4509.0,4870.0,Cruz Alta
4662.0,4870.0,Novo Hamburgo
4670.0,4844.0,Palmeira das Missões
5312.0,4831.0,Uruaçu
2927.0,4820.0,Ubá
951.0,4814.0,Quixadá
2500.0,4788.0,Itaúna
4964.0,4787.5,Cáceres
1250.0,4768.0,Malta
1481.0,4763.0,Pombos
2005.0,4723.0,Paulo Afonso
1417.0,4721.0,Feira Nova
1644.0,4708.0,Areia Branca
1332.0,4704.0,São Sebastião de Lagoa de Roça
1020.0,4703.0,Parnamirim
2667.0,4699.0,Pará de Minas
3758.0,4697.0,Arapongas
1871.0,4695.5,Ibotirama
2587.0,4672.0,Mateus Leme
1467.0,4660.0,Ouricuri
1848.0,4648.0,Gandu
4738.0,4646.0,Santa Cruz do Sul
5201.0,4613.0,Itumbiara
1713.0,4604.0,Umbaúba
2623.0,4604.0,Muriaé
627.0,4589.0,Campo Maior
3044.0,4588.0,Bom Jardim
3715.0,4581.0,Tupã
1903.0,4574.0,Itaparica
1605.0,4570.0,Palmeira dos Índios
1725.0,4551.0,Amélia Rodrigues
3939.0,4547.0,Marialva
1653.0,4541.0,Cedro de São João
3905.0,4518.0,Jandaia do Sul
5000.0,4517.0,Jangada
2109.0,4516.0,Ubatã
1351.0,4507.0,Teixeira
